iter	Passed	Remaining
0	135	135842
1	136	68275
2	138	46142
3	140	34868
4	141	28134
5	143	23697
6	144	20466
7	145	18076
8	147	16243
9	149	14780
10	150	13491
11	151	12485
12	152	11582
13	154	10846
14	155	10218
15	156	9642
16	157	9133
17	158	8668
18	160	8305
19	163	7990
20	164	7650
21	166	7379
22	167	7123
23	169	6873
24	170	6660
25	171	6419
26	172	6208
27	173	6008
28	174	5845
29	175	5683
30	176	5531
31	178	5390
32	179	5250
33	180	5125
34	181	5005
35	182	4890
36	183	4780
37	184	4675
38	185	4572
39	186	4474
40	187	4380
41	188	4291
42	188	4205
43	189	4121
44	190	4043
45	191	3965
46	191	3891
47	192	3820
48	193	3751
49	193	3685
50	194	3621
51	195	3558
52	195	3497
53	196	3439
54	196	3383
55	197	3329
56	198	3277
57	198	3226
58	199	3177
59	199	3129
60	200	3081
61	200	3036
62	201	2992
63	201	2950
64	202	2909
65	202	2871
66	203	2832
67	203	2791
68	204	2754
69	204	2718
70	205	2682
71	205	2648
72	205	2615
73	206	2586
74	207	2555
75	207	2524
76	208	2495
77	208	2466
78	209	2437
79	209	2410
80	210	2382
81	210	2356
82	210	2331
83	211	2306
84	211	2279
85	212	2255
86	212	2231
87	213	2208
88	213	2186
89	214	2164
90	214	2143
91	215	2122
92	215	2102
93	216	2082
94	216	2062
95	217	2043
96	217	2024
97	218	2006
98	218	1988
99	218	1970
100	219	1953
101	219	1934
102	220	1917
103	220	1900
104	221	1884
105	221	1869
106	222	1853
107	222	1838
108	223	1823
109	223	1808
110	224	1794
111	224	1779
112	224	1765
113	225	1752
114	225	1738
115	226	1724
116	226	1711
117	227	1699
118	227	1685
119	228	1673
120	228	1661
121	229	1650
122	229	1636
123	230	1625
124	230	1614
125	231	1603
126	231	1592
127	231	1580
128	232	1569
129	232	1558
130	233	1548
131	233	1538
132	234	1528
133	234	1517
134	235	1508
135	235	1498
136	236	1489
137	236	1479
138	237	1470
139	237	1461
140	238	1451
141	238	1442
142	239	1433
143	239	1425
144	240	1416
145	240	1408
146	241	1399
147	241	1391
148	242	1382
149	242	1374
150	243	1366
151	243	1359
152	244	1351
153	244	1343
154	245	1336
155	245	1329
156	246	1321
157	246	1314
158	247	1307
159	247	1299
160	248	1292
161	248	1285
162	249	1279
163	249	1272
164	250	1265
165	250	1258
166	251	1252
167	251	1245
168	251	1238
169	252	1232
170	253	1226
171	253	1220
172	254	1214
173	254	1208
